#G	time_to_stabilize
#G_graz: 0.0578561
#starting from: -7.61076	-8.52852
0.178	149.648
#starting from: -8.98924	-7.36871
0.178	149.648
#starting from: -7.63024	-7.61337
0.178	149.648
#starting from: -7.67715	-7.62868
0.178	149.648
#starting from: -7.14515	-7.77829
0.178	149.648
#starting from: -8.60463	-8.78372
0.178	149.648
#starting from: -7.11612	-7.8727
0.178	149.648
#starting from: -7.05315	-8.4261
0.178	149.648
#starting from: -8.92489	-7.81143
0.178	149.648
#starting from: -7.06796	-7.37707
0.178	149.648
#starting from: -7.20028	-7.71653
0.178	149.648
#starting from: -7.55668	-8.40219
0.178	149.648
#starting from: -8.18734	-7.53763
0.178	149.648
#starting from: -8.99243	-7.99235
0.178	149.648
#starting from: -7.4282	-8.26848
0.178	149.648
#starting from: -7.07874	-8.73593
0.178	149.648
#starting from: -8.57332	-7.00975
0.178	149.648
#starting from: -8.43386	-8.58411
0.178	149.648
#starting from: -8.7255	-7.97514
0.178	149.648
#starting from: -8.24469	-8.88116
0.178	149.648
#starting from: -7.3613	-7.73213
0.178	149.648
#starting from: -7.81149	-7.95986
0.178	149.648
#starting from: -8.15272	-8.87047
0.178	149.648
#starting from: -8.3421	-8.58241
0.178	149.648
#starting from: -8.75857	-8.729
0.178	149.648
#starting from: -7.72721	-7.70463
0.178	149.648
#starting from: -8.00061	-8.5047
0.178	149.648
#starting from: -8.68509	-8.11191
0.178	149.648
#starting from: -8.39881	-8.76003
0.178	149.648
#starting from: -8.43365	-7.0258
0.178	149.648
#starting from: -8.95354	-8.91091
0.178	149.648
#starting from: -7.86597	-7.82552
0.178	149.648
#starting from: -8.58037	-7.86637
0.178	149.648
#starting from: -7.73042	-8.54377
0.178	149.648
#starting from: -7.41085	-8.62242
0.178	149.648
#starting from: -7.17653	-7.59493
0.178	149.648
#starting from: -8.82443	-7.08981
0.178	149.648
#starting from: -7.24957	-7.95938
0.178	149.648
#starting from: -8.85266	-7.94075
0.178	149.648
#starting from: -8.05476	-8.64218
0.178	149.648
#starting from: -7.00173	-8.50127
0.178	149.648
#starting from: -8.57008	-7.11527
0.178	149.648
#starting from: -8.06585	-8.45363
0.178	149.648
#starting from: -8.19029	-7.04829
0.178	149.648
#starting from: -7.93269	-7.33144
0.178	149.648
#starting from: -7.29167	-8.24218
0.178	149.648
#starting from: -7.13632	-7.83582
0.178	149.648
#starting from: -8.41309	-8.163
0.178	149.648
#starting from: -8.45748	-8.47734
0.178	149.648
#starting from: -7.02256	-7.5437
0.178	149.648
#starting from: -8.11862	-8.13171
0.178	149.648
#starting from: -7.64048	-7.45431
0.178	149.648
#starting from: -8.18711	-8.69342
0.178	149.648
#starting from: -8.9202	-7.18181
0.178	149.648
#starting from: -8.48172	-7.95548
0.178	149.648
#starting from: -7.65099	-7.30393
0.178	149.648
#starting from: -7.75692	-8.1708
0.178	149.648
#starting from: -7.4858	-7.46271
0.178	149.648
#starting from: -8.47624	-7.64638
0.178	149.648
#starting from: -7.28744	-7.8381
0.178	149.648
#starting from: -8.30003	-8.58509
0.178	149.648
#starting from: -7.29516	-7.22017
0.178	149.648
#starting from: -7.73676	-8.14799
0.178	149.648
#starting from: -7.15304	-8.1231
0.178	149.648
#starting from: -7.85175	-8.08995
0.178	174.781
#starting from: -7.06257	-7.72509
0.178	149.648
#starting from: -7.37469	-8.80542
0.178	149.648
#starting from: -7.91342	-7.44319
0.178	149.648
#starting from: -8.5931	-8.5931
0.178	149.648
#starting from: -7.60156	-8.13302
0.178	149.648
#starting from: -7.80858	-8.44898
0.178	149.648
#starting from: -8.55828	-7.00533
0.178	149.648
#starting from: -8.47363	-7.85615
0.178	149.648
#starting from: -8.38827	-7.24422
0.178	149.648
#starting from: -7.72017	-8.97905
0.178	149.648
#starting from: -8.35881	-8.48035
0.178	149.648
#starting from: -7.25483	-7.1626
0.178	149.648
#starting from: -8.45654	-7.98504
0.178	149.648
#starting from: -7.36221	-7.0837
0.178	149.648
#starting from: -8.18583	-7.93593
0.178	149.648
#starting from: -8.78518	-7.77493
0.178	149.648
#starting from: -8.18432	-7.39531
0.178	149.648
#starting from: -8.95145	-8.84043
0.178	149.648
#starting from: -7.72165	-8.0792
0.178	149.648
#starting from: -8.93136	-7.46349
0.178	149.648
#starting from: -7.61937	-7.98211
0.178	149.648
#starting from: -8.57577	-7.64917
0.178	149.648
#starting from: -8.30543	-8.53226
0.178	174.781
#starting from: -7.22174	-7.45548
0.178	149.648
#starting from: -7.99927	-7.00785
0.178	149.648
#starting from: -8.36942	-8.85879
0.178	149.648
#starting from: -8.96212	-7.99866
0.178	149.648
#starting from: -7.01204	-7.18873
0.178	149.648
#starting from: -8.61583	-7.332
0.178	149.648
#starting from: -7.02824	-8.09184
0.178	149.648
#starting from: -7.58821	-7.44608
0.178	149.648
#starting from: -8.05006	-8.92894
0.178	149.648
#starting from: -7.97328	-8.44712
0.178	149.648
#starting from: -7.87027	-7.67988
0.178	149.648
#starting from: -7.54605	-7.20289
0.178	149.648
#starting from: -7.01815	-8.73854
0.178	149.648
#starting from: -7.54156	-7.05585
0.178	149.648
#starting from: -8.34309	-8.17244
0.178	149.648
#starting from: -8.64331	-7.89302
0.178	149.648
